kt,상관관계,kia,상관관계,lg,상관관계,nc,상관관계,ssg,상관관계,두산,상관관계,롯데,상관관계,삼성,상관관계,키움,상관관계,한화,상관관계,,지운 데이터
안타,-0.242888063,퀄리티스타트,0.286338892,출루율+장타율,-0.145277496,삼진_투수,0.221597997,희생타,0.009973839,피안타,0.356112581,타수,0.195049749,삼진,0.015722173,풋아웃,0.147603546,대타타율,0.358152071,,
포일,-0.246130055,어시스트,0.230947166,타율,-0.17784632,홈런,0.192167665,출루율+장타율,-0.029784861,피안타율,0.266452551,완봉,0.127185053,희생번트,0.007874172,고의타구,-0.045276002,병살타,0.31635439,,
루타,-0.287436221,병살,0.21361486,병살타,-0.180719558,홀드,0.157818417,3루타,-0.034540603,도루저지율,0.233345848,삼진_투수,0.122951173,누적이동거리,-0.034420193,사구,-0.064908,견제사,0.307560085,,
장타율,-0.315889759,피안타율,0.210504322,보크,-0.186631724,대타타율,0.141371122,희생번트,-0.039382302,멀티히트,0.209722315,포일,0.043427725,2루타,-0.051661767,평균연봉,-0.106885558,멀티히트,0.290892333,,
타율,-0.343766508,고의사구,0.195250142,안타,-0.225435229,도루저지율,0.049879558,출루율,-0.053239691,3루타_투수,0.140911786,사구_투수,0.027566648,견제사,-0.075616536,희생타,-0.146623779,삼진_투수,0.252040682,,
득점권타율,-0.385434453,2루타_투수,0.188990143,장타율,-0.232416837,사구,0.038420348,순위,-0.058166337,고의사구,0.13955644,2루타_투수,0.007481625,블론세이브,-0.080209804,희생번트,-0.205672604,희생번트,-0.234320235,,
볼넷_투수,-0.391420132,병살타,0.183904439,루타,-0.234312603,퀄리티스타트,-0.011813883,멀티히트,-0.078758551,완봉,0.051003052,3루타_투수,-0.00347084,고의사구,-0.086194888,2루타_투수,-0.284104442,ERA,0.207286021,,
사구,-0.39474068,고의타구,0.125952254,타수,-0.235616726,누적이동거리,-0.100681406,고의사구,-0.08027686,병살타,0.027384853,완투,-0.010907281,타수,-0.119254955,누적이동거리,-0.284961333,3루타,0.081485494,,
2루타,-0.469047126,희생번트,0.00622138,투구수,-0.23856956,평균연봉,-0.038799569,3루타_투수,-0.096679128,ERA,-0.006431698,견제사,-0.02404003,2루타_투수,-0.219290899,3루타_투수,-0.328803718,총타자상대,0.07322553,,
병살,-0.505149248,폭투,0.002846675,포일,-0.248923387,폭투,-0.113279895,홈런,-0.101813466,견제사,-0.038136587,투구수,-0.050338222,병살타,-0.26664826,타석,-0.385929944,보크,0.072665295,,
보크,-0.514767416,도루저지율,0.00160884,총타자상대,-0.262567868,완투,-0.242581383,블론세이브,-0.183780029,폭투,-0.043391946,병살,-0.061703526,풋아웃,-0.321768681,보크,-0.434843329,완투,0.053302631,,
대타타율,-0.51703166,3루타_투수,-0.031592954,홈런,-0.285871906,보크,-0.272588707,완투,-0.199906224,대타타율,-0.073014421,도루저지율,-0.08906088,멀티히트,-0.345469265,고의사구,-0.454396973,퀄리티스타트,0.003107368,,
어시스트,-0.538933857,사구,-0.051337244,삼진_투수,-0.329308084,견제사,-0.365507583,볼넷,-0.306791746,희생플라이_투수,-0.162892475,희생플라이,-0.10437,3루타,-0.355201957,타수,-0.482478478,사구_투수,-0.002645372,,
도루허용,-0.551143993,WHIP,0.199866119,고의사구,-0.342593392,총타자상대,-0.379424969,포일,-0.324413431,누적이동거리,-0.21162275,평균연봉,-0.109569212,사구_투수,-0.370607274,사구_투수,-0.490105321,WHIP,-0.019099918,,
희생타,-0.595308338,ERA,-0.206037797,희생타,-0.363621175,도루허용,-0.408724434,폭투,-0.390295513,희생타,-0.215930544,도루허용,0.150231457,포일,-0.384062137,희생플라이,-0.584519419,희생타,-0.076578459,,
3루타_투수,-0.664356595,홀드,-0.20778102,순위_투수,-0.435577055,피안타,-0.430054479,희생플라이_투수,-0.401996687,고의타구,-0.227311225,ERA,-0.170433323,3루타_투수,-0.396450894,순위,-0.591352856,투구수,-0.101019238,,
폭투,-0.673476685,볼넷,-0.240663041,2루타,-0.460652623,투구수,-0.437856645,도루허용,-0.459838676,총타자상대,-0.258935599,희생타,-0.208225782,폭투,-0.401169275,블론세이브,-0.639755069,도루허용,-0.125428171,,
도루저지율,-0.696322056,사구_투수,-0.280869915,WHIP,-0.469932768,피안타율,-0.443432933,피안타,-0.459875538,도루허용,-0.261139207,3루타,-0.247691682,희생플라이_투수,0.42755536,포일,-0.659958502,2루타_투수,-0.214779815,,
순위,-0.709544234,희생타,-0.280918828,피안타,-0.551105839,3루타_투수,0.446047266,2루타_투수,-0.478091183,보크,-0.263530469,피안타,-0.250218174,ERA,-0.478249484,피안타율,-0.671366355,볼넷,-0.222652363,,
완투,-0.73595255,삼진,-0.281296874,피안타율,-0.551220876,ERA,-0.449437266,보크,-0.503132173,WHIP,-0.296556478,삼진,-0.271129839,투구수,-0.498699391,피안타,-0.694851358,희생플라이,-0.266561035,,
