kt,,kia,,lg,,nc,,ssg,,두산,,롯데,,삼성,,키움,,한화,,,,
변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,,투수요인,
멀티히트,0.015059104,피안타,0.385751026,실책,0.046143543,멀티히트,0.336873814,삼진,0.021137018,어시스트,0.51321059,블론세이브,0.304620117,피홈런,0.176664042,대타타율,0.326341451,풋아웃,0.510716241,,,
삼진_투수,-0.007989164,세이브,0.373489699,퀄리티스타트,0.038896129,병살타,0.331937676,수비율,-0.002826534,완투,0.500274831,홀드,0.285617854,대타타율,0.174092198,득점권타율,0.266591363,피홈런,0.485795333,,,
희생번트,-0.013827676,실책,0.362956135,희생플라이_투수,0.011646365,어시스트,0.32338242,도루허용,-0.041527848,사구_투수,0.381821922,대타타율,0.274764415,순위_수비,0.157790905,멀티히트,0.243284786,어시스트,0.483915693,,,
타수,-0.037176564,포일,0.341841649,3루타_투수,0.009149519,희생플라이,0.295529938,대타타율,-0.064063847,사구,0.377750613,누적이동거리,0.274018036,도루허용,0.15461091,병살,0.237487266,피안타,0.463570983,,,
누적이동거리,-0.10339921,투구수,0.338981848,희생번트,-0.051951416,병살,0.274202291,멀티히트,-0.176969019,세이브,0.362923339,볼넷,0.240052393,희생타,0.11592772,안타,0.212344034,수비율,0.435280227,,,
출루율+장타율,-0.164022149,블론세이브,0.323599952,수비율,-0.079596804,삼진_투수,0.240172479,삼진_투수,-0.190417896,피안타,0.358922878,어시스트,0.231749894,평균연봉,0.11319247,풋아웃,0.201908517,피안타율,0.431995407,,,
홈런,-0.164574171,평균연봉,0.3081289,대타타율,-0.111562808,홈런,0.221597997,견제사,-0.235211062,피안타율,0.356112581,타수,0.226421703,도루저지율,0.089355521,고의타구,0.147603546,도루저지율,0.414650972,,,
안타,-0.237578192,퀄리티스타트,0.298705684,병살,-0.118490927,홀드,0.192167665,병살타,-0.236673593,피홈런,0.279413222,완봉,0.195049749,사구,0.086808755,도루실패,0.130855455,대타타율,0.367380118,,,
포일,-0.242888063,어시스트,0.286338892,출루율+장타율,-0.120414356,대타타율,0.157818417,순위_수비,-0.254583195,도루저지율,0.266452551,삼진_투수,0.127185053,삼진,0.066021249,사구,-0.045276002,병살타,0.358152071,,,
루타,-0.246130055,병살,0.230947166,타율,-0.145277496,도루저지율,0.141371122,타수,-0.301415764,멀티히트,0.233345848,포일,0.122951173,희생번트,0.015722173,평균연봉,-0.064908,견제사,0.31635439,,,
장타율,-0.287436221,피안타율,0.21361486,병살타,-0.17784632,사구,0.049879558,누적이동거리,-0.317865446,3루타_투수,0.209722315,사구_투수,0.043427725,누적이동거리,0.007874172,희생타,-0.106885558,멀티히트,0.307560085,,,
타율,-0.315889759,고의사구,0.210504322,보크,-0.180719558,퀄리티스타트,0.038420348,타점,-0.333212597,도루실패,0.167925583,2루타_투수,0.027566648,2루타,-0.034420193,실책,-0.132040276,삼진_투수,0.290892333,,,
득점권타율,-0.343766508,2루타_투수,0.195250142,안타,-0.186631724,누적이동거리,-0.011813883,득점,-0.38424871,고의사구,0.140911786,3루타_투수,0.007481625,견제사,-0.051661767,희생번트,-0.146623779,자책점,0.285800301,,,
볼넷_투수,-0.385434453,병살타,0.188990143,장타율,-0.225435229,평균연봉,-0.100681406,볼넷,-0.411538994,완봉,0.13955644,완투,-0.00347084,연도,-0.062973862,2루타_투수,-0.205672604,희생번트,0.252040682,,,
