경기장,전체경기수,이긴수,승률
광주,80,39,48.75
대구,80,40,50
잠실,160,69,43.125
수원,80,37,46.25
문학,720,388,53.88888889
사직,80,42,52.5
대전,80,49,61.25
창원,80,28,35
고척,80,40,50
합계,1440,732,50.83333333
