경기장,전체경기수 ,이긴 수 ,승률
광주,80,31,0.3875
대구,80,36,0.45
잠실,160,64,0.4
수원,80,39,0.4875
문학,80,30,0.375
사직,720,359,0.498611111
대전,80,36,0.45
창원,80,34,0.425
고척,80,33,0.4125
