경기장,전체경기수,이긴 수,승률
광주,80,39,0.4875
대구,80,46,0.575
잠실,160,70,0.4375
수원,80,41,0.5125
문학,80,31,0.3875
사직,80,39,0.4875
대전,80,44,0.55
창원,80,29,0.3625
고척,720,392,0.544444444
