경기장,전체경기수,이긴 수,승률
고척,80,32,0.4
광주,720,380,0.527777778
대구,80,40,0.5
대전,80,49,0.6125
문학,80,38,0.475
사직,80,39,0.4875
수원,80,37,0.4625
잠실,160,65,0.40625
창원,80,37,0.4625
