경기장,전체경기수,이긴 수,승률
고척,80,36,0.45
광주,80,34,0.425
대구,720,358,0.497222222
대전,80,41,0.5125
문학,80,30,0.375
사직,80,40,0.5
수원,80,34,0.425
잠실,160,68,0.425
창원,80,40,0.5
