경기장,전체경기수,이긴 수,승률
광주,80,26,0.325
대구,80,33,0.4125
잠실,160,63,0.39375
수원,80,37,0.4625
문학,80,33,0.4125
사직,80,25,0.3125
대전,720,318,0.441666667
창원,80,31,0.3875
고척,80,29,0.3625
