경기장,전체경기수,이긴수,승률
광주 ,80,51,63.75
대구,80,46,57.5
잠실,800,452,56.5
수원 ,80,40,50
문학 ,80,37,46.25
사직 ,80,42,52.5
대전 ,78,38,48.71794872
"마산,  창원 ",80,45,56.25
고척,72,39,54.16666667
