경기장,개수,이긴수,승률
광주,80,39,0.4875
대구,80,40,0.5
잠실,160,69,0.43125
수원,80,37,0.4625
문학,720,388,0.538888889
사직,80,42,0.525
대전,80,49,0.6125
"마산,창원",80,28,0.35
고척,80,40,0.5
