경기장,전체경기수,이긴 수,승률
대전,80,45,0.5625
수원,80,45,0.5625
잠실,800,430,0.5375
고척,80,40,0.5
창원,80,40,0.5
대구,80,39,0.4875
광주,80,38,0.475
문학,80,37,0.4625
사직,80,37,0.4625
